,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Katsuura,75,JP,1604375241,88,35.13,140.3,62.6,9.17
1,Krasnyy Luch,100,UA,1604375241,97,48.14,38.94,47.44,4.16
2,Airai,96,TL,1604375241,37,-8.93,125.41,81.93,4.09
3,Mutoko,1,ZW,1604375241,75,-17.4,32.23,64.17,3.56
4,Cape Town,0,ZA,1604375076,87,-33.93,18.42,64.0,5.82
5,Hobart,0,AU,1604375242,30,-42.88,147.33,88.0,11.41
6,Mataura,0,NZ,1604375242,62,-46.19,168.86,62.01,8.99
7,Jamestown,20,US,1604375175,55,42.1,-79.24,39.99,24.16
8,San Vicente,69,AR,1604374888,68,-26.62,-54.13,58.19,2.98
9,Butaritari,1,KI,1604375242,75,3.07,172.79,80.87,16.91
10,Port Macquarie,17,AU,1604374582,42,-31.43,152.92,75.99,1.99
11,Castro,72,BR,1604375032,87,-24.79,-50.01,52.45,11.12
12,Carnarvon,0,AU,1604375243,47,-24.87,113.63,77.0,19.46
13,Sioux Lookout,90,CA,1604374650,74,50.1,-91.92,35.6,2.24
14,Lebu,17,CL,1604375243,93,-37.62,-73.65,50.05,10.07
15,Roald,100,NO,1604374907,81,62.58,6.13,45.0,17.22
16,Pevek,100,RU,1604375243,95,69.7,170.31,12.97,25.41
17,Chokurdakh,38,RU,1604375243,86,70.63,147.92,-13.09,8.97
18,Carmagnola,5,IT,1604375243,87,44.85,7.72,51.8,1.14
19,George Town,20,MY,1604375244,78,5.41,100.34,82.4,3.36
20,Saint Paul Harbor,1,US,1604375240,53,57.79,-152.41,24.8,14.99
21,Bathsheba,75,BB,1604375244,78,13.22,-59.52,80.6,19.46
22,Hilo,90,US,1604375244,78,19.73,-155.09,80.6,5.91
23,Laguna,1,US,1604375244,55,38.42,-121.42,64.99,3.36
24,Kununurra,10,AU,1604375244,17,-15.77,128.73,104.0,6.93
25,Vila do Maio,0,CV,1604375244,54,15.13,-23.22,78.8,10.29
26,Boat of Garten,100,GB,1604375244,93,57.25,-3.76,41.0,5.82
27,Saint-Philippe,90,RE,1604375244,56,-21.36,55.77,73.4,9.17
28,Northam,100,GB,1604375244,93,51.03,-4.22,44.01,7.0
29,Esna,0,EG,1604375245,72,25.29,32.55,66.2,12.55
30,Vaini,75,TO,1604375245,88,-21.2,-175.2,77.0,13.87
31,East London,40,ZA,1604375245,93,-33.02,27.91,64.4,3.36
32,Grindavik,75,IS,1604375245,72,63.84,-22.43,37.4,5.82
33,Nuevo Progreso,6,MX,1604375245,62,23.17,-97.95,68.0,1.99
34,Victor Harbor,94,AU,1604375245,28,-35.57,138.62,91.0,8.01
35,Bethel,1,US,1604375134,55,41.37,-73.41,36.0,5.82
36,Ilhabela,60,BR,1604375230,69,-23.78,-45.36,65.21,5.14
37,Gushikawa,40,JP,1604375246,65,26.35,127.87,77.0,20.8
38,Parkes,72,AU,1604375246,29,-33.13,148.18,84.0,5.95
39,Abomsa,0,ET,1604375246,42,9.98,39.98,65.1,4.92
40,Ushuaia,20,AR,1604375246,81,-54.8,-68.3,46.4,4.7
41,Port Elizabeth,0,ZA,1604375246,93,-33.92,25.57,64.4,14.99
42,Champerico,98,GT,1604375246,95,14.3,-91.92,66.99,2.95
43,Cabra,0,ES,1604375247,87,37.47,-4.44,50.0,1.12
44,Mentougou,0,CN,1604375247,20,39.94,116.09,57.0,1.99
45,Upernavik,88,GL,1604375247,90,72.79,-56.15,15.75,6.8
46,Inhambane,40,MZ,1604375247,88,-23.86,35.38,71.6,2.24
47,Bluff,0,NZ,1604375247,62,-46.6,168.33,62.01,8.99
48,Provideniya,75,RU,1604375248,68,64.38,-173.3,28.4,4.47
49,Paducah,1,US,1604375248,48,37.08,-88.6,44.6,4.7
50,Lahat,100,ID,1604375301,86,-3.8,103.53,76.98,0.94
51,Dikson,75,RU,1604375301,94,73.51,80.55,12.24,9.8
